Development_Sector,Year,Year_num,Amount
Agro-Forestry,2018-19,2018,64.75
Animal Welfare,2018-19,2018,98.33
"Armed Forces, Veterans, War Widows/Dependents",2018-19,2018,90.18
Art and Culture,2018-19,2018,225.94
Clean Ganga Fund,2018-19,2018,8.11
Conservation Of Natural Resources,2018-19,2018,173.55
Education,2018-19,2018,6111.66
Environmental Sustainability,2018-19,2018,1368.27
Gender Equality,2018-19,2018,51.86
Health Care,2018-19,2018,3617.15
Livelihood Enhancement Projects,2018-19,2018,907.98
Other Central Government Funds,2018-19,2018,87.61
"Poverty, Eradicating Hunger, Malnutrition",2018-19,2018,731.06
Prime Minister's National Relief Fund,2018-19,2018,1195.78
Rural Development Projects,2018-19,2018,322.19
Safe Drinking Water,2018-19,2018,2434.17
Sanitation,2018-19,2018,228.23
Senior Citizens Welfare,2018-19,2018,506.66
Setting Up Homes & Hostels for Women,2018-19,2018,46.52
Setting Up Orphanage,2018-19,2018,57.01
Slum Area Development,2018-19,2018,12.89
Socio-Economic Inequalities,2018-19,2018,51.06
Special Education,2018-19,2018,167.92
Swachh Bharat Kosh,2018-19,2018,186.13
Technology Incubators,2018-19,2018,95.5
Training To Promote Sports,2018-19,2018,32.1
Vocational Skills,2018-19,2018,310.16
Women Empowerment,2018-19,2018,798.36
NEC/Not Mentioned*,2018-19,2018,236.54
Agro-Forestry,2019-20,2019,67.38
Animal Welfare,2019-20,2019,106.12
"Armed Forces, Veterans, War Widows/Dependents",2019-20,2019,62.06
Art and Culture,2019-20,2019,933.57
Clean Ganga Fund,2019-20,2019,6.63
Conservation Of Natural Resources,2019-20,2019,160.6
Education,2019-20,2019,7179.51
Environmental Sustainability,2019-20,2019,1470.53
Gender Equality,2019-20,2019,82.93
Health Care,2019-20,2019,4905.72
Livelihood Enhancement Projects,2019-20,2019,1077.72
Other Central Government Funds,2019-20,2019,502.79
"Poverty, Eradicating Hunger, Malnutrition",2019-20,2019,932.16
Prime Minister's National Relief Fund,2019-20,2019,1159.71
Rural Development Projects,2019-20,2019,798.43
Safe Drinking Water,2019-20,2019,2301.02
Sanitation,2019-20,2019,253.4
Senior Citizens Welfare,2019-20,2019,521.72
Setting Up Homes & Hostels for Women,2019-20,2019,52.33
Setting Up Orphanage,2019-20,2019,48.5
Slum Area Development,2019-20,2019,36.5
Socio-Economic Inequalities,2019-20,2019,42.94
Special Education,2019-20,2019,214.88
Swachh Bharat Kosh,2019-20,2019,196.88
Technology Incubators,2019-20,2019,53.47
Training To Promote Sports,2019-20,2019,53.5
